Test Case Title,Step,Description,Notes,Expected Result,Expected File,P/F,Tester name,Testing date ,Defect ID(s),Remarks
"Inventory Adjustments By Store/Warehouse



",,"Inventory > Inventory Adjustments >By Store/Warehouse
    Obj.:  To Adjust inventory by location
1 - From the main menu, select Inventory > Inventory Adjustments >By Store/Warehouse. The Inventory Adjustment by Location window is
displayed
2 - In the Location Type field, select the type of location where the adjustment must be made
3 - In the Location field, enter the ID of the location, or click the LOV button and select the location
4 - In the Inventory Status field, select the status that you want to apply to the items at the selected location
5 - In the Reason field, enter the ID of the reason for the adjustment, or click the LOV button and select the reason
6 - In the Item field, enter the item number of the item, or click the LOV button and select the item
7 - In the Adjustment Qty field enter the number of units that you want to add or subtract. Use a negative number to subtract from the total
8 - Click OK + Repeat to make adjustments at another location, or click OK to exit",,"1 -The Inventory Adjustment by Location window is displayed
2 - In the Location Type field, is applied
3 - In the Location field, enter the ID of the location, or click the LOV button and select the location
4 - In the Inventory Status field, select the status that you want to apply to the items at the selected location
5 - In the Reason field, enter the ID of the reason for the adjustment, or click the LOV button and select the reason
Note: A reason is required if you select Total Stock on Hand in the Inventory Status field
6 - In the Item field, enter the item number of the item, or click the LOV button and select the item
7 - In the Adjustment Qty field enter the number of units that you want to add or subtract. Use a negative number to subtract from the total
8 - Click OK + Repeat to make adjustments at another location, or click OK to exit",,,,,,
,VP,Verify whether the adjustments are made properly for the location,,,,,,,,
,VP,Validate all the VP ( Inventory adjustments by location) for iventory adjutments by location ,,All the VP should be verified ,,,,,,
"View unavailable Items

",Step,"Items > Items
    Obj.:  To View unavailable inventory
1 - From the main menu, select Items > Items. The Item Search window is displayed
2 - Click for and retrieve an item in Edit or View mode. The Item Maintenance window is displayed
3 - From the Options list. The Unavailable Inventory window is displayed
4 - In the Location Type field, The type of location that you want to view
5 - The status of the item as necessary
6 - The locations that match the search criteria are displayed",,"
When you edit or view an item, you can choose to view the quantity of
unavailable, or non-salable, stock on hand. You can restrict the view to one or all
inventory status types at one or all locations

",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,VP ,Validate the different status of the unavailable inventory  ,,The different status of the unavailabe inventory  should be validated after the inventory adjustments is done,,,,,,
Inventory Status Types-Negative case,Step,"1 - From the main menu, select Control > Setup > Inventory Status
2 - Types > Edit. The current status types are displayed on the Inventory Status Types window
3 - Click Add. The next available line is enabled
4 - In the Status field, enter already existing ID for the status type
6 - Click OK ",,System should not allow to add the same ID ,,,,,,
Editing Inventory Adjustment Reason -Negative case,Step,"Control > Setup > Inventory Adjustment Reason > Edit
Obj.:  To Add an inventory adjustment reason
1 - From the main menu, select Control > Setup > Inventory
2 - Adjustment Reason > Edit. The current reasons are displayed in the Inventory Adjustment Reason Code Maintenance window.
3 - Click Add
4 - In the Reason field, enter existing ID for the reason
5 - In the Description field, enter the description of the reason
6 - Click OK",,System should not allow to add the same ID ,,,,,,
